#EventID, Time, Latitude, Longitude, Depth/Km, Author, Catalog, Contributor, ContributorID, MagType, Magnitude, MagAuthor, EventLocationName
23529671, 2019-12-03T02:27:01.200000, 42.6072, 13.224, 15.2, SURVEY-INGV, , , , ML, 2.2, --, 5 km E Cittareale (RI)
23530151, 2019-12-03T07:19:17.780000, 44.1092, 8.6832, 9.1, SURVEY-INGV, , , , ML, 2.1, --, Costa Ligure centro-occidentale (Savona)
23530461, 2019-12-03T08:46:30.508000, -18.348, -70.4539, 9.8, SURVEY-INGV-A, , , , Mwp, 6.0, --, Peru (Peruvian point of view) [Sea]
23532201, 2019-12-03T15:48:00.570000, 38.3662, 15.4103, 117.1, SURVEY-INGV, , , , ML, 2.1, --, Costa Siciliana nord-orientale (Messina)
23532261, 2019-12-03T16:00:34.000000, 37.74, 14.941, 20.4, SURVEY-INGV-CT, , , , ML, 2.8, --, 11 km SE Bronte (CT)
23532781, 2019-12-03T17:34:06.220000, 38.4807, 13.4582, 2.0, SURVEY-INGV, , , , ML, 2.7, --, Tirreno Meridionale (MARE)
23533081, 2019-12-03T18:08:21.180000, 38.4897, 14.7843, 150.0, SURVEY-INGV, , , , ML, 2.7, --, Isole Eolie (Messina)
23533221, 2019-12-03T18:40:48.070000, 44.2972, 7.2357, 8.7, SURVEY-INGV, , , , ML, 2.0, --, 2 km SE Aisone (CN)
23533611, 2019-12-03T21:26:28.530000, 44.9153, 9.1787, 24.6, SURVEY-INGV, , , , ML, 2.7, --, 1 km SW Fortunago (PV)
23533921, 2019-12-03T22:33:28.010000, 38.4183, 15.4388, 123.3, SURVEY-INGV, , , , ML, 2.3, --, Tirreno Meridionale (MARE)
23534091, 2019-12-03T23:56:21.310000, 42.972, 13.1183, 7.3, SURVEY-INGV, , , , ML, 2.0, --, 3 km NW Ussita (MC)
23534131, 2019-12-04T00:12:08.980000, 47.2743, 10.9332, 10.7, SURVEY-INGV, , , , ML, 2.0, --, Confine Austria-Germania (AUSTRIA, GERMANIA)
23538351, 2019-12-04T20:10:03.534000, -18.9809, 169.617, 259.8, SURVEY-INGV-A, , , , Mwp, 6.0, --, Vanuatu Islands [Sea: Vanuatu]
23539831, 2019-12-05T08:09:15.450000, 42.8105, 13.1227, 8.9, SURVEY-INGV, , , , ML, 2.2, --, 3 km NE Norcia (PG)
23541521, 2019-12-05T16:08:25.790000, 42.439, 13.2298, 10.2, SURVEY-INGV, , , , ML, 2.5, --, 2 km S Cagnano Amiterno (AQ)
23542371, 2019-12-05T22:57:56.140000, 42.6197, 13.2418, 11.6, SURVEY-INGV, , , , ML, 2.1, --, 4 km W Amatrice (RI)
23542681, 2019-12-06T00:17:23.000970, 40.82733, 14.1545, 1.8, SURVEY-INGV-OV, , , , Md, 2.8, --, 6 km E Pozzuoli (NA)
23543091, 2019-12-06T02:20:49.100000, 38.4068, 13.3955, 10.0, SURVEY-INGV, , , , ML, 2.7, --, Costa Siciliana centro-settentrionale (Palermo)
23543221, 2019-12-06T02:35:15.390000, 42.6192, 13.2412, 10.7, SURVEY-INGV, , , , ML, 2.0, --, 4 km W Amatrice (RI)
23545241, 2019-12-06T13:04:50.162000, -15.2789, -175.247, 10.2, SURVEY-INGV-A, , , , Mwp, 6.0, --, Tonga Islands [Sea: Tonga]
23545721, 2019-12-06T16:32:19.480000, 43.2027, 11.0172, 7.1, SURVEY-INGV, , , , ML, 2.1, --, 7 km SW Radicondoli (SI)
23546171, 2019-12-06T18:42:50.330000, 39.4393, 16.7307, 23.5, SURVEY-INGV, , , , ML, 2.1, --, 3 km NW Bocchigliero (CS)
23546261, 2019-12-06T18:57:50.810000, 38.3563, 15.4667, 125.0, SURVEY-INGV, , , , ML, 2.3, --, Costa Siciliana nord-orientale (Messina)
23546331, 2019-12-06T19:10:05.180000, 38.2227, 15.1877, 128.4, SURVEY-INGV, , , , ML, 2.3, --, Costa Siciliana nord-orientale (Messina)
23546971, 2019-12-07T00:10:40.950000, 37.5692, 16.4213, 10.0, SURVEY-INGV, , , , ML, 2.2, --, Mar Ionio Meridionale (MARE)
23547291, 2019-12-07T02:29:59.230000, 45.3162, 10.9433, 10.3, SURVEY-INGV, , , , ML, 3.2, --, Vigasio (VR)
23547531, 2019-12-07T05:31:02.420000, 42.9043, 13.1843, 10.9, SURVEY-INGV, , , , ML, 2.6, --, 3 km E Castelsantangelo sul Nera (MC)
23547751, 2019-12-07T05:54:29.010000, 43.8067, 11.9832, 11.0, SURVEY-INGV, , , , ML, 2.1, --, 2 km NW Verghereto (FC)
23550361, 2019-12-07T17:42:25.980000, 43.104, 13.2745, 23.9, SURVEY-INGV, , , , ML, 2.1, --, 1 km E Cessapalombo (MC)
23551301, 2019-12-07T21:55:38.130000, 42.4628, 13.2633, 13.7, BULLETIN-INGV, , , , Mw, 3.8, --, 2 km NW Barete (AQ)
23551771, 2019-12-07T22:16:54.600000, 42.4752, 13.2732, 13.4, SURVEY-INGV, , , , Mw, 3.4, --, 3 km N Barete (AQ)
23551931, 2019-12-07T22:21:29.140000, 42.4772, 13.2783, 11.9, SURVEY-INGV, , , , ML, 2.2, --, 3 km N Barete (AQ)
23556271, 2019-12-08T19:38:54.150000, 44.0103, 11.3215, 6.8, SURVEY-INGV, , , , ML, 2.6, --, 5 km N Scarperia e San Piero (FI)
23556381, 2019-12-08T20:13:54.970000, 44.013, 11.3305, 6.5, SURVEY-INGV, , , , ML, 2.8, --, 6 km N Scarperia e San Piero (FI)
23556461, 2019-12-08T20:14:32.910000, 44.0107, 11.3153, 6.9, SURVEY-INGV, , , , ML, 2.0, --, 5 km N Scarperia e San Piero (FI)
23556701, 2019-12-08T21:04:41.650000, 44.0262, 11.3327, 5.2, SURVEY-INGV, , , , ML, 2.1, --, 7 km N Scarperia e San Piero (FI)
23557421, 2019-12-09T02:38:35.880000, 44.0117, 11.3172, 8.2, SURVEY-INGV, , , , ML, 2.4, --, 5 km N Scarperia e San Piero (FI)
23557471, 2019-12-09T02:39:38.540000, 44.0068, 11.3162, 8.0, SURVEY-INGV, , , , ML, 3.2, --, 5 km N Scarperia e San Piero (FI)
23557591, 2019-12-09T02:42:52.260000, 44.0018, 11.3105, 8.8, SURVEY-INGV, , , , ML, 3.4, --, 4 km N Scarperia e San Piero (FI)
23557691, 2019-12-09T02:44:46.370000, 44.0132, 11.3305, 8.5, SURVEY-INGV, , , , ML, 2.1, --, 6 km N Scarperia e San Piero (FI)
23557941, 2019-12-09T02:55:35.740000, 44.0102, 11.3128, 7.6, SURVEY-INGV, , , , ML, 2.1, --, 5 km N Scarperia e San Piero (FI)
23558041, 2019-12-09T03:27:32.710000, 41.6725, 15.6882, 16.5, SURVEY-INGV, , , , ML, 2.0, --, 5 km SW San Giovanni Rotondo (FG)
23558121, 2019-12-09T03:37:04.300000, 43.9955, 11.3137, 9.4, SURVEY-INGV, , , , Mw, 4.5, --, 4 km N Scarperia e San Piero (FI)
23558211, 2019-12-09T03:39:11.380000, 44.0088, 11.3347, 8.3, SURVEY-INGV, , , , ML, 3.0, --, 5 km N Scarperia e San Piero (FI)
